track_id,playlist_id
140,1
140,8
141,1
141,8
142,1
142,8
143,1
143,8
144,1
144,8
145,1
145,8
146,1
146,8
147,1
147,8
148,1
148,8
149,1
149,8
150,1
150,8
151,1
151,8
152,1
152,8
152,17
153,1
153,8
154,1
154,8
155,1
155,8
156,1
156,8
157,1
157,8
158,1
158,8
159,1
159,8
160,1
160,8
160,17
161,1
161,8
162,1
162,8
163,1
163,8
164,1
164,8
165,1
165,8
166,1
166,5
166,8
167,1
167,5
167,8
168,1
168,5
168,8
169,1
169,5
169,8
170,1
170,5
170,8
171,1
171,5
171,8
172,1
172,5
172,8
173,1
173,5
173,8
174,1
174,5
174,8
175,1
175,5
175,8
176,1
176,5
176,8
177,1
177,5
177,8
178,1
178,5
178,8
179,1
179,5
179,8
180,1
180,5
180,8
181,1
181,5
181,8
182,1
182,5
182,8
183,1
183,5
183,8
184,1
184,5
184,8
185,1
185,5
185,8
186,1
186,5
186,8
187,1
187,5
187,8
188,1
188,5
188,8
189,1
189,5
189,8
190,1
190,5
190,8
191,1
191,5
191,8
192,1
192,5
192,8
193,1
193,5
193,8
194,1
194,8
195,1
195,8
196,1
196,8
197,1
197,8
198,1
198,8
199,1
199,8
200,1
200,8
201,1
201,8
202,1
202,8
203,1
203,8
204,1
204,8
205,1
205,5
205,8
206,1
206,5
206,8
207,1
207,5
207,8
208,1
208,5
208,8
209,1
209,5
209,8
210,1
210,5
210,8
211,1
211,5
211,8
212,1
212,5
212,8
213,1
213,5
213,8
214,1
214,5
214,8
215,1
215,5
215,8
215,11
216,1
216,5
216,8
217,1
217,5
217,8
218,1
218,5
218,8
219,1
219,5
219,8
219,11
220,1
220,5
220,8
220,11
221,1
221,5
221,8
222,1
222,5
222,8
223,1
223,8
224,1
224,8
225,1
225,8
226,1
226,8
227,1
227,8
228,1
228,8
228,11
229,1
229,8
230,1
230,8
230,11
231,1
231,8
232,1
232,8
233,1
233,8
234,1
234,8
235,1
235,8
236,1
236,8
236,11
237,1
237,8
238,1
238,8
239,1
239,8
240,1
240,8
241,1
241,8
242,1
242,8
243,1
243,8
244,1
244,8
245,1
245,8
246,1
246,5
246,8
247,1
247,5
247,8
248,1
248,5
248,8
249,1
249,5
249,8
250,1
250,5
250,8
251,1
251,5
251,8
252,1
252,5
252,8
253,1
253,5
253,8
254,1
254,5
254,8
255,1
255,5
255,8
256,1
256,5
256,8
257,1
257,5
257,8
258,1
258,5
258,8
259,1
259,5
259,8
260,1
260,5
260,8
261,1
261,5
261,8
262,1
262,5
262,8
263,1
263,5
263,8
264,1
264,5
264,8
265,1
265,5
265,8
266,1
266,5
266,8
267,1
267,5
267,8
268,1
268,5
268,8
269,1
269,5
269,8
270,1
270,5
270,8
271,1
271,5
271,8
272,1
272,5
272,8
273,1
273,5
273,8
274,1
274,5
274,8
275,1
275,5
275,8
276,1
276,5
276,8
277,1
277,5
277,8
278,1
278,5
278,8
279,1
279,5
279,8
280,1
280,5
280,8
281,1
281,5
281,8
282,1
282,8
283,1
283,8
284,1
284,8
285,1
285,8
286,1
286,8
287,1
287,8
288,1
288,8
289,1
289,8
290,1
290,8
291,1
291,8
292,1
292,8
293,1
293,8
294,1
294,8
295,1
295,8
296,1
296,8
297,1
297,8
298,1
298,8
299,1
299,5
299,8
300,1
300,5
300,8
301,1
301,5
301,8
302,1
302,5
302,8
303,1
303,5
303,8
304,1
304,5
304,8
305,1
305,5
305,8
306,1
306,5
306,8
307,1
307,5
307,8
308,1
308,5
308,8
309,1
309,5
309,8
310,1
310,5
310,8
311,1
311,5
311,8
312,1
312,5
312,8
313,1
313,8
314,1
314,8
315,1
315,8
316,1
316,8
317,1
317,8
318,1
318,8
319,1
319,8
320,1
320,8
321,1
321,8
322,1
322,8
323,1
323,8
324,1
324,8
325,1
325,8
326,1
326,8
327,1
327,8
328,1
328,8
329,1
329,8
330,1
330,8
331,1
331,8
332,1
332,8
333,1
333,8
334,1
334,8
335,1
335,8
336,1
336,8
337,1
337,5
337,8
338,1
338,5
338,8
339,1
339,5
339,8
340,1
340,5
340,8
341,1
341,5
341,8
342,1
342,5
342,8
343,1
343,5
343,8
344,1
344,5
344,8
345,1
345,5
345,8
346,1
346,5
346,8
347,1
347,5
347,8
348,1
348,5
348,8
349,1
349,5
349,8
350,1
350,5
350,8
351,1
351,8
352,1
352,8
353,1
353,8
354,1
354,8
355,1
355,8
356,1
356,8
357,1
357,8
358,1
358,8
359,1
359,8
360,1
360,8
361,1
361,8
362,1
362,8
363,1
363,8
364,1
364,8
365,1
365,8
366,1
366,8
367,1
367,8
368,1
368,8
369,1
369,8
370,1
370,8
371,1
371,8
372,1
372,8
373,1
373,8
374,1
374,8
375,1
375,8
376,1
376,8
377,1
377,8
378,1
378,8
379,1
379,8
380,1
380,8
381,1
381,8
382,1
382,8
383,1
383,8
384,1
384,8
385,1
385,8
386,1
386,8
387,1
387,8
388,1
388,8
389,1
389,8
390,1
390,8
391,1
391,8
391,11
392,1
392,8
393,1
393,8
393,11
394,1
394,8
395,1
395,8
396,1
396,8
397,1
397,8
398,1
398,8
399,1
399,8
400,1
400,8
401,1
401,8
402,1
402,8
403,1
403,8
404,1
404,8
405,1
405,8
406,1
